index,Product,Product_ID,Arrival,Maximum,Weight(kg)
0,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-16,120.0,71
1,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-16,80.0,154
2,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-16,18.0,79
3,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-16,80.0,85
4,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-16,35.0,135
5,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-16,260.0,39
6,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-16,25.0,174
7,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-16,400.0,156
8,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-16,60.0,120
9,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-16,25.0,114
10,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-16,70.0,93
11,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-16,21.0,158
12,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-16,16.0,166
13,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-16,40.0,193
14,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-16,40.0,32
15,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-16,32.0,50
16,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-17,130.0,12
17,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-17,80.0,75
18,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-17,20.0,121
19,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-17,80.0,77
20,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-17,40.0,98
21,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-17,260.0,113
22,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-17,25.0,80
23,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-17,400.0,35
24,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-17,60.0,175
25,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-17,22.0,196
26,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-17,70.0,120
27,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-17,21.0,108
28,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-17,16.0,198
29,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-17,40.0,112
30,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-17,30.0,59
31,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-17,25.0,161
32,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-18,120.0,148
33,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-18,80.0,196
34,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-18,25.0,171
35,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-18,80.0,104
36,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-18,40.0,109
37,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-18,260.0,69
38,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-18,25.0,63
39,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-18,400.0,69
40,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-18,60.0,14
41,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-18,25.0,71
42,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-18,60.0,167
43,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-18,20.0,86
44,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-18,16.0,45
45,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-18,40.0,114
46,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-18,30.0,70
47,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-18,26.0,119
48,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-19,120.0,65
49,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-19,80.0,194
50,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-19,26.0,93
51,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-19,80.0,28
52,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-19,42.0,196
53,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-19,260.0,13
54,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-19,25.0,85
55,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-19,400.0,178
56,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-19,60.0,19
57,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-19,40.0,36
58,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-19,65.0,52
59,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-19,21.0,138
60,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-19,16.0,26
61,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-19,40.0,185
62,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-19,30.0,48
63,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-19,28.0,88
64,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-20,120.0,71
65,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-20,80.0,107
66,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-20,25.0,83
67,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-20,80.0,29
68,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-20,42.0,128
69,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-20,260.0,191
70,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-20,25.0,140
71,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-20,400.0,26
72,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-20,60.0,162
73,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-20,40.0,20
74,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-20,55.0,101
75,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-20,21.0,123
76,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-20,16.0,20
77,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-20,40.0,33
78,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-20,30.0,142
79,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-20,26.0,164
80,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-21,120.0,94
81,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-21,80.0,69
82,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-21,22.0,31
83,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-21,80.0,60
84,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-21,45.0,123
85,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-21,260.0,85
86,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-21,20.0,169
87,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-21,400.0,168
