index,Product,Product_ID,Arrival,Maximum,Weight(kg)
0,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-16,120.0,110.0
1,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-16,80.0,75.0
2,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-16,18.0,17.0
3,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-16,80.0,75.0
4,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-16,35.0,32.5
5,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-16,260.0,255.0
6,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-16,25.0,22.5
7,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-16,400.0,300.0
8,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-16,60.0,55.0
9,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-16,25.0,22.5
10,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-16,70.0,65.0
11,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-16,21.0,20.5
12,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-16,16.0,15.5
13,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-16,40.0,37.5
14,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-16,40.0,37.5
15,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-16,32.0,29.0
16,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-17,130.0,120.0
17,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-17,80.0,75.0
18,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-17,20.0,19.0
19,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-17,80.0,75.0
20,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-17,40.0,37.5
21,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-17,260.0,255.0
22,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-17,25.0,22.5
23,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-17,400.0,300.0
24,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-17,60.0,55.0
25,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-17,22.0,20.0
26,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-17,70.0,65.0
27,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-17,21.0,20.5
28,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-17,16.0,15.5
29,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-17,40.0,37.5
30,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-17,30.0,27.5
31,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-17,25.0,22.5
32,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-18,120.0,115.0
33,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-18,80.0,75.0
34,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-18,25.0,22.5
35,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-18,80.0,75.0
36,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-18,40.0,37.5
37,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-18,260.0,255.0
38,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-18,25.0,22.5
39,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-18,400.0,300.0
40,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-18,60.0,55.0
41,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-18,25.0,22.5
42,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-18,60.0,57.5
43,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-18,20.0,19.5
44,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-18,16.0,15.5
45,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-18,40.0,37.5
46,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-18,30.0,27.5
47,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-18,26.0,24.0
48,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-19,120.0,115.0
49,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-19,80.0,75.0
50,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-19,26.0,24.0
51,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-19,80.0,75.0
52,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-19,42.0,40.0
53,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-19,260.0,255.0
54,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-19,25.0,22.5
55,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-19,400.0,300.0
56,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-19,60.0,55.0
57,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-19,40.0,37.5
58,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-19,65.0,62.5
59,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-19,21.0,20.5
60,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-19,16.0,15.5
61,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-19,40.0,37.5
62,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-19,30.0,27.5
63,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-19,28.0,26.0
64,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-20,120.0,115.0
65,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-20,80.0,75.0
66,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-20,25.0,22.5
67,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-20,80.0,75.0
68,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-20,42.0,41.0
69,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-20,260.0,255.0
70,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-20,25.0,22.5
71,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-20,400.0,300.0
72,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-20,60.0,55.0
73,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-20,40.0,37.5
74,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-20,55.0,55.0
75,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-20,21.0,20.5
76,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-20,16.0,15.5
77,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-20,40.0,37.5
78,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-20,30.0,27.5
79,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-20,26.0,24.0
80,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-21,120.0,115.0
81,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-21,80.0,75.0
82,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-21,22.0,20.0
83,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-21,80.0,75.0
84,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-21,45.0,42.5
85,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-21,260.0,255.0
86,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-21,20.0,17.5
87,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-21,400.0,300.0
88,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-21,50.0,45.0
89,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-21,55.0,50.0
90,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-21,60.0,57.5
91,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-21,22.0,21.5
92,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-21,17.0,16.5
93,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-21,40.0,37.5
94,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-21,30.0,27.5
95,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-21,20.0,17.5
96,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-25,130.0,120.0
97,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-25,70.0,65.0
98,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-25,40.0,37.5
99,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-25,80.0,75.0
100,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-25,45.0,42.5
101,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-25,260.0,255.0
102,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-25,25.0,22.5
103,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-25,400.0,300.0
104,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-25,60.0,55.0
105,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-25,45.0,42.5
106,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-25,60.0,57.5
107,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-25,25.0,24.0
108,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-25,18.0,17.5
109,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-25,45.0,42.5
110,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-25,35.0,32.5
111,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-25,30.0,27.5
112,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-26,130.0,120.0
113,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-26,70.0,65.0
114,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-26,35.0,32.5
115,Brocauli,e4e405bc-d99b-4fbf-bb35-2e08fd6a8862,2013-06-26,80.0,75.0
116,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-26,40.0,37.5
117,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-26,260.0,255.0
118,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-26,25.0,22.5
119,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-26,400.0,300.0
120,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-26,60.0,55.0
121,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-26,40.0,37.5
122,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-26,60.0,55.0
123,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-26,23.0,22.5
124,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-26,18.0,17.5
125,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-26,40.0,37.5
126,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-26,35.0,32.5
127,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-26,25.0,22.5
128,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-27,120.0,115.0
129,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-27,60.0,55.0
130,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-27,40.0,37.5
131,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-27,42.0,41.0
132,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-27,260.0,255.0
133,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-27,20.0,19.0
134,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-27,400.0,300.0
135,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-27,60.0,55.0
136,Okara,49de6113-2a81-466c-8ab1-7835a6e8adde,2013-06-27,40.0,37.5
137,Papaya,cea735fb-4ea1-4970-8c5c-c250b671a1a0,2013-06-27,60.0,57.5
138,Potato Red,08f3acc4-5c89-4a21-ba0c-b1cd10ff55c5,2013-06-27,24.0,23.0
139,Potato White,ea128527-26a8-4695-97b6-8165126a2715,2013-06-27,20.0,19.5
140,Raddish Red,6cb2fc31-28a9-41e0-8097-b6fc0c27af26,2013-06-27,40.0,37.5
141,Tomato Big,69735793-757e-4ae3-91a6-9d2008488d2c,2013-06-27,35.0,32.5
142,Tomato Small,71bc2956-caeb-4db5-99ff-afd72743ade0,2013-06-27,24.0,21.0
143,Apple,3d7baeff-1387-490a-9981-04234e88299a,2013-06-28,120.0,115.0
144,Banana,666473ac-2a7f-476d-9001-cf98ffe7259c,2013-06-28,60.0,55.0
145,Brinjal Long,6d0ecdf6-efed-41c0-8a1f-aa813a1ab73f,2013-06-28,40.0,37.5
146,Carrot,d95b26ec-17e4-448d-b8e1-8c9f74ce61b7,2013-06-28,42.0,41.0
147,Grapes,392b24b1-21cc-4598-869d-abcbe32184ec,2013-06-28,260.0,255.0
148,Jack Fruit,0967140c-9917-4b4f-a207-b93430644c02,2013-06-28,20.0,19.0
149,Lime,bc3efa88-b283-4ecd-9745-88675d66951e,2013-06-28,400.0,300.0
150,Mango,d9025412-35e3-460a-9d59-dfb94c1a4ce1,2013-06-28,60.0,55.0
