index,Product,Product_ID,Arrival,Weight(kg)
0,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-16,110.0
1,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-16,75.0
2,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-16,17.0
3,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-16,75.0
4,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-16,32.5
5,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-16,255.0
6,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-16,22.5
7,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-16,300.0
8,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-16,55.0
9,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-16,22.5
10,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-16,65.0
11,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-16,20.5
12,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-16,15.5
13,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-16,37.5
14,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-16,37.5
15,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-16,29.0
16,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-17,120.0
17,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-17,75.0
18,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-17,19.0
19,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-17,75.0
20,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-17,37.5
21,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-17,255.0
22,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-17,22.5
23,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-17,300.0
24,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-17,55.0
25,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-17,20.0
26,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-17,65.0
27,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-17,20.5
28,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-17,15.5
29,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-17,37.5
30,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-17,27.5
31,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-17,22.5
32,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-18,115.0
33,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-18,75.0
